"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"United Kingdom (UK)","02.01.2023 04:00 - 02.01.2023 04:30 (CET/CEST)","n/e","n/e","n/e","n/e","215","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","75"
"United Kingdom (UK)","02.01.2023 04:30 - 02.01.2023 05:00 (CET/CEST)","n/e","n/e","n/e","n/e","216","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","70"
"United Kingdom (UK)","02.01.2023 05:00 - 02.01.2023 05:30 (CET/CEST)","n/e","n/e","n/e","n/e","219","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","63"
"United Kingdom (UK)","02.01.2023 05:30 - 02.01.2023 06:00 (CET/CEST)","n/e","n/e","n/e","n/e","218","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","58"
"United Kingdom (UK)","02.01.2023 06:00 - 02.01.2023 06:30 (CET/CEST)","n/e","n/e","n/e","n/e","229","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","70"
"United Kingdom (UK)","02.01.2023 06:30 - 02.01.2023 07:00 (CET/CEST)","n/e","n/e","n/e","n/e","226","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","70"
"United Kingdom (UK)","02.01.2023 07:00 - 02.01.2023 07:30 (CET/CEST)","n/e","n/e","n/e","n/e","227","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","71"
"United Kingdom (UK)","02.01.2023 07:30 - 02.01.2023 08:00 (CET/CEST)","n/e","n/e","n/e","n/e","225","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","73"
"United Kingdom (UK)","02.01.2023 08:00 - 02.01.2023 08:30 (CET/CEST)","n/e","n/e","n/e","n/e","215","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","75"
"United Kingdom (UK)","02.01.2023 08:30 - 02.01.2023 09:00 (CET/CEST)","n/e","n/e","n/e","n/e","216","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","77"
"United Kingdom (UK)","02.01.2023 09:00 - 02.01.2023 09:30 (CET/CEST)","n/e","n/e","n/e","n/e","210","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","93"
"United Kingdom (UK)","02.01.2023 09:30 - 02.01.2023 10:00 (CET/CEST)","n/e","n/e","n/e","n/e","214","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","115"
